Desc	Family ID	Hleu	Lpic	Lvar	Mglob	Pliv	Spurp_prefixed
(null)	OG0000543	0	0	0	2	0	33
(null)	OG0000544	6	7	6	5	4	6
(null)	OG0000545	10	8	5	3	2	6
(null)	OG0000546	28	1	1	1	1	2
(null)	OG0000547	10	2	1	4	15	2
(null)	OG0000548	3	4	5	5	4	13
(null)	OG0000549	1	1	1	1	1	29
(null)	OG0000550	2	15	3	3	2	9
(null)	OG0000551	2	2	1	1	18	10
(null)	OG0000552	4	0	0	0	0	30
(null)	OG0000553	8	2	7	3	11	3
(null)	OG0000554	3	7	5	5	6	8
(null)	OG0000555	2	11	7	2	2	10
(null)	OG0000556	1	13	7	1	1	11
(null)	OG0000557	3	5	4	10	5	7
(null)	OG0000558	3	6	6	7	7	5
(null)	OG0000559	2	7	8	7	3	7
(null)	OG0000560	2	7	16	3	3	3
(null)	OG0000561	1	3	20	2	3	5
(null)	OG0000562	1	12	18	1	1	1
(null)	OG0000563	2	6	7	1	2	16
(null)	OG0000564	0	6	8	4	7	9
(null)	OG0000565	0	11	18	1	2	2
(null)	OG0000566	0	16	18	0	0	0
(null)	OG0000567	0	7	4	7	4	12
(null)	OG0000568	0	10	4	1	8	11
(null)	OG0000569	0	0	0	0	34	0
(null)	OG0000570	2	7	11	4	2	7
(null)	OG0000571	7	2	4	5	15	0
(null)	OG0000572	2	2	10	1	4	14
(null)	OG0000573	6	4	6	4	3	10
(null)	OG0000574	3	5	7	7	5	6
(null)	OG0000575	7	6	9	5	2	4
(null)	OG0000576	1	15	8	1	1	7
(null)	OG0000577	5	4	10	1	11	2
(null)	OG0000578	7	7	5	2	8	4
(null)	OG0000579	6	11	9	1	2	4
(null)	OG0000580	4	5	2	6	4	12
(null)	OG0000581	3	2	3	6	17	2
(null)	OG0000582	4	2	10	7	6	4
(null)	OG0000583	2	3	4	1	22	1
(null)	OG0000584	1	7	12	1	1	11
(null)	OG0000585	2	4	6	5	7	9
(null)	OG0000586	1	1	1	1	2	27
(null)	OG0000587	5	5	10	5	3	5
(null)	OG0000588	3	9	6	7	3	5
(null)	OG0000589	0	3	9	2	7	12
(null)	OG0000590	0	28	5	0	0	0
(null)	OG0000591	0	3	3	5	5	17
(null)	OG0000592	0	12	6	5	1	9
(null)	OG0000593	0	1	1	5	22	4
(null)	OG0000594	0	0	33	0	0	0
(null)	OG0000595	27	1	1	1	1	1
(null)	OG0000596	7	5	5	3	4	8
(null)	OG0000597	1	5	10	2	1	13
(null)	OG0000598	1	24	3	1	1	2
(null)	OG0000599	32	0	0	0	0	0
(null)	OG0000600	21	5	3	0	0	3
(null)	OG0000601	12	11	2	2	3	2
