FamilyID	Hleu<1>	Mglob<2>	Pliv<3>	Spurp_prefixed<4>	Lvar<5>	Lpic<6>	<7>	<8>	<9>	<10>	<11>
OG0000124	0.861925	0.170064	0.475203	2.786e-05	0.88891	0.680196	N/A	0.615913	0.341615	0.143941	0.762329
OG0000125	0.897276	0.0382863	0.035822	8.17723e-05	0.0450636	2.92742e-14	N/A	0.452587	0.127841	1.50563e-05	2.01195e-16
OG0000126	0.0563594	2.97422e-05	2.72764e-05	0.204286	0.00565781	0.370425	N/A	0.0326116	0.00979686	0.874256	0.224213
OG0000128	0.702515	0.016179	0.00123128	0.000531294	2.05361e-07	1.19658e-20	N/A	0.175716	0.157435	6.11802e-11	0.234978
OG0000129	0.455785	0.926685	0.247396	0.00146968	0.880274	0.0201019	N/A	0.579128	0.8365	0.381056	0.744854
OG0000130	0.279093	0.78911	0.281533	4.31448e-05	0.88891	0.142862	N/A	0.18255	0.358761	0.156393	0.433359
OG0000131	0.924894	0.00350824	0.000205339	1.10889e-08	5.8907e-17	1.61009e-16	N/A	0.423956	0.18558	1.39685e-09	0.777439
OG0000132	0.614193	0.0314629	0.20903	0.0159869	0.000918704	0.0334801	N/A	0.331686	0.283066	0.00168933	1.10142e-05
OG0000136	0.122895	0.329642	0.376065	0.000282741	0.680196	0.341944	N/A	0.0848636	0.358761	0.414728	0.762329
OG0000137	0.671025	0.0246267	1.05449e-05	0.00283672	0.478224	0.478224	N/A	0.410409	0.105056	0.621767	0.190152
OG0000139	0.685075	0.781009	0.0313331	0.0274703	0.680196	0.225864	N/A	0.615913	0.8365	0.0675199	0.762329
OG0000140	0.00247929	0.119148	0.276742	0.156161	0.833337	0.184687	N/A	0.0195228	0.808289	0.539524	0.291027
OG0000141	0.122895	0.517882	0.918588	0.902742	0.00462729	0.689745	N/A	0.159265	0.341615	0.143941	0.213156
OG0000142	0.630657	0.0842048	0.0254996	3.83232e-05	0.630858	0.05293	N/A	0.947235	0.559506	0.362285	0.371282
OG0000143	0.702515	0.016179	0.00123128	0.00389111	0.00091164	5.18236e-15	N/A	0.175716	0.157435	6.11802e-11	0.234978
OG0000145	0.00142154	0.0239503	0.697834	0.0867137	0.116308	0.208853	N/A	0.0165906	0.79586	0.816029	0.687469
OG0000146	0.601936	0.136574	0.418966	0.00845594	1.8482e-08	0.884839	N/A	0.942807	0.819017	0.105578	0.0651829
OG0000148	0.483348	7.41607e-05	0.418966	0.902742	0.252629	0.105203	N/A	0.937041	0.125882	0.00168933	0.0883483
OG0000149	0.855437	0.0397084	0.738933	0.000198714	0.478224	0.32635	N/A	0.821854	0.30385	0.0583784	0.753914
OG0000150	0.0048768	0.223199	0.89709	4.22816e-09	0.485716	0.00140132	N/A	0.0508185	0.79586	0.816029	0.00104214
OG0000151	0.702515	0.0382863	0.00367497	0.134069	0.698491	7.98215e-22	N/A	0.452587	0.127841	1.47554e-06	2.65069e-06
OG0000153	0.789292	0.517882	0.749324	9.04633e-05	0.000244347	0.426448	N/A	0.947235	0.8365	0.85278	0.371282
OG0000156	0.271511	0.119148	0.188169	7.21827e-09	0.630858	0.273196	N/A	0.72017	0.808289	0.0926809	0.724544
OG0000157	0.948996	0.247845	0.20903	1.93259e-06	0.0704302	0.0201019	N/A	0.812806	0.283066	0.0495092	0.744854
OG0000159	0.00478078	0.749658	1.01234e-07	0.378791	0.712786	0.0190357	N/A	0.0577213	0.808289	1.73601e-06	0.579238
OG0000160	1.26615e-06	0.674689	0.0249818	0.692171	0.138502	0.593963	N/A	0.000207713	0.744167	0.000509353	0.0827245
OG0000161	0.0129261	0.905555	0.679184	7.72325e-15	0.000287832	0.443432	N/A	0.131285	0.781359	0.802523	0.00072591
OG0000163	0.654926	0.270679	0.439579	1.05045e-05	0.658136	0.658136	N/A	0.580857	0.30385	0.118474	0.744854
