TID	tubefeet3_kq	spine1_kq	ovary3_kq	gut1_kq
MGLB00833.1	0.647687	4.27495	0.421198	11.6071
MGLB00830.1	321.434	266.325	200.8	273.002
MGLB00711.3	1.28858	8.1339	1.37958	20.8091
MGLB00711.2	1.8359	1.65795	0.449547	0.0
MGLB00711.1	0.0	0.804146	1.24525	4.42523
MGLB00293.1	21.8224	3.14499	9.55563	19.0425
MGLB00293.2	27.5117	39.9044	11.7073	81.9466
MGLB00805.1	0.0	0.0	0.0	0.0841233
MGLB00531.1	0.0	0.0	0.0	0.0
MGLB00732.3	6.69911	13.4265	0.826586	13.6553
MGLB00732.1	0.0	1.74548e-09	0.0	0.685059
MGLB00732.2	0.0	5.10338e-10	0.0	0.000503054
MGLB00732.4	0.0	1.30882	0.0	2.32932
MGLB00732.6	0.0	0.0	0.0	0.0
MGLB00732.5	2.42362	4.35189	0.0977113	0.640628
MGLB01034.3	0.0	0.535423	0.0	1.27398
MGLB01034.4	0.0	0.0	0.0	0.0
MGLB01034.6	0.0	0.0	0.0	0.0
MGLB01034.1	3.92112	6.72079	0.0	3.75339
MGLB01034.2	0.0	0.0	0.0	0.0
MGLB01034.5	0.0	0.0	0.0	0.0
MGLB01034.8	0.0	0.0722145	0.0	0.302919
MGLB01034.7	0.0	4.54411	1.50744	1.66519
MGLB01034.9	0.0	0.0	0.0	0.0
MGLB00484.1	1.95705	0.0970986	0.0458032	0.0
MGLB00481.1	0.0	0.0	0.0	0.0
MGLB00864.3	0.0	0.0	0.0	0.0
MGLB00864.1	1.58428e-05	2.40041e-05	2.38232e-05	3.37545e-05
MGLB00864.2	1.09729e-05	1.94183	0.0	6.30379
MGLB00864.4	9.43295	18.1826	3.15366	15.3807
MGLB01065.1	0.610121	5.53209	0.0	13.6998
MGLB00775.2	1.8798	1.39984	0.290081	4.82788
MGLB00775.1	0.0	1.56874	0.0	6.79933
MGLB00720.1	9.30698	22.5951	1.9998	31.1576
MGLB00384.2	1.21691	1.70324	0.0	3.75588
MGLB00384.3	0.0	0.0	0.0	0.0
MGLB00384.1	0.0	0.319405	0.0	0.0
MGLB00384.5	1.4205	0.0	0.131996	0.0
MGLB00384.4	0.0	0.0	0.0949671	0.0
MGLB01058.1	17.2613	31.6853	0.683174	10.1472
MGLB00515.1	36.9449	47.4306	0.0	4.07189
MGLB00789.1	129.61	58.9174	53.1203	8.21539
MGLB00717.1	0.0	0.358279	0.0	0.0
MGLB00717.2	0.0	0.0	0.0	81.7305
MGLB00580.1	0.0	0.0	0.0	0.0
MGLB00518.1	0.893704	0.346315	0.0	0.0964363
MGLB00310.1	0.0	0.0	0.0	1.23691
MGLB00666.1	0.0	0.0	0.408569	0.0
MGLB00668.1	0.0	0.659654	0.789788	0.917726
MGLB00814.1	0.0	0.0	0.0	12.5277
MGLB01125.1	1.12787	2.18433	0.77965	0.967241
MGLB00700.1	5.35891	9.56387	1.99785	12.0016
MGLB00948.1	1.4739	1.62592	0.707484	5.57486
MGLB00511.1	0.208866	0.479364	0.0	0.455892
MGLB00645.1	0.000298628	0.00282377	0.000882712	0.0021779
MGLB00645.2	0.33544	3.64797	0.450514	2.11852
MGLB00702.1	0.0	4.30923	0.0	13.355
MGLB00377.1	0.591574	1.11566	0.398732	0.762361
MGLB00429.2	0.891895	0.970588	0.0	2.6568
MGLB00429.1	0.0	0.136298	0.254242	0.612218
MGLB01018.1	1.1795	5.39701	0.0	16.0338
MGLB01136.1	11.9834	13.0857	1.58812	10.1624
MGLB01206.1	1.80784	0.655883	0.0	0.0
MGLB00885.1	9.65642	25.3696	0.315379	26.6898
MGLB00617.1	4.32637	4.75458	0.487692	23.1245
MGLB00618.1	0.528694	0.0	0.0	0.53198
MGLB01181.1	1896.62	689.54	0.0	2.17888
MGLB00659.1	836.45	581.539	0.0	10.5842
MGLB00908.1	6.55336	19.3523	0.813555	3.79071
MGLB00586.1	8.63955	25.7015	3.28447	25.1066
MGLB00586.2	0.0	0.0	0.0	0.218464
MGLB00719.1	1.39499	9.55397e-05	0.0	0.0417453
MGLB00719.2	2.49937	8.53955	0.102084	0.469997
MGLB00719.3	0.0	0.0	0.0	0.0
MGLB00719.4	0.184197	7.47622	0.0	0.314148
MGLB00652.1	6.04639	87.0891	0.700219	2.72979
MGLB00404.1	0.0	0.815882	0.325144	0.0
MGLB01149.1	1.70054	2.91232	1.30238	0.501749
MGLB00267.1	77.2501	32.5573	2.35156	5.41616
MGLB00698.1	0.373786	0.0807337	0.0	0.0
MGLB00370.1	0.0	2.10151	0.0	1.73998
MGLB00370.2	5.06401	6.30452	0.924606	14.9141
MGLB00370.3	0.516735	2.10151	0.0	5.21993
MGLB00370.4	2.48033	1.71942	1.02734	2.23711
MGLB01083.2	0.0	7.13506	0.0	0.0
MGLB01083.1	12.8125	24.4571	0.748356	3.21983
MGLB01129.1	0.0	0.0	0.0	0.0
MGLB01129.2	0.0	0.263532	0.0	0.0
MGLB00954.1	0.876546	3.44888	0.0	2.33563
MGLB00284.1	14.0227	61.1064	5.64176	38.1356
MGLB00279.1	50.9923	23.2342	6.2767	53.5065
MGLB01137.1	0.0	0.342607	2.70302	0.233818
MGLB00835.1	0.0	0.0	0.0	0.0
MGLB00251.2	0.0	2.16976	1.12703	0.944878
MGLB00251.1	2.45521	4.39622	1.96395e-08	4.41497
MGLB00998.1	0.0	3.59887	1.47528	7.73537
MGLB00434.1	33.9352	36.0009	0.0	4.314
MGLB00328.1	0.0	0.00708884	0.725323	9.13734e-06
MGLB00328.2	2.67223	5.85296	0.42893	7.76281
MGLB00257.1	18.5029	41.356	3.749	14.611
MGLB00257.2	0.0	2.20144	0.0	0.496062
MGLB00567.2	0.0	7.63813	0.0	7.02365
MGLB00567.1	3.26562	0.0	1.30835	0.0
MGLB00992.1	0.870983	3.26795	0.694142	3.25791
MGLB00989.1	4.4235	0.86089	0.389431	1.42935e-06
MGLB00989.2	0.0	14.5946	0.0	18.0396
MGLB00550.1	6.24049	4.0612	1.65841	5.82161
MGLB01024.1	13.3994	12.1448	3.98119	18.4535
MGLB00273.1	0.0	0.0	0.0	0.0
MGLB00273.2	0.0	0.0603899	0.0620407	0.0
MGLB01201.1	11.0081	15.2281	0.490936	11.5471
MGLB01086.1	142.726	272.71	14.2555	144.279
MGLB01021.1	1.60238	11.6528	0.334255	8.85518
